applyState,attribute,attribute_dictText,auditBy,auditName,auditTime,batchNumber,boutique,browse,caseTime,category,category_dictText,contractModleName,contractModleUrl,createBy,createName,createTime,delFlag,description,frozenStatus,fwType,fwTypeName,fwType_dictText,hwPrice1,hwPrice2,hwPrice3,hwPriceList,id,introduction,label,labelIds,level,logo,logoUrl,name,negotiation,negotiation_dictText,newProduct,opinion,outTime,price,purchase,realNameType,scene,sceneName,scene_dictText,serviceDescription,serviceFeeRatio,serviceName,serviceNote,serviceState,shelf,shelfApplyFileName,shelfApplyFileUrl,shelfTime,source,status,subject,subjectName,supplierId,themeId,themeId_dictText,totalPrice,tradeUserType,type,updateBy,updateTime,url,violationStatus,warnProcessTime
<p>2023_株洲市渌口区标准地图影像版8开下载，可用于新闻宣传用图、书刊报纸插图、广告展示背景图、工艺品设计底图等，也可作为编制公开版地图的参考底图。</p>,,,1,超级管理员,2024-03-27,20240327133634230774,1,88,,,,新建DOCX文档.docx,https://s-minio.hunandex.com/hunan/合同/40fc4cc1fb974d25be667853ff3ab661.docx,8a69d8528d3be3a1018e79b4fc720070,长沙数据登记管理中心有限公司,2024-03-27,1,2023_株洲市渌口区标准地图影像版8开下载,1,1060,,数据购买服务,,,,[],1772860243615600642,2023_株洲市渌口区标准地图影像版8开下载,"数据存储,数据中台,数据系统部署,数据中心,数据仓库","数据存储,数据中台,数据系统部署,数据中心,数据仓库",,https://s-minio.hunandex.com/hunan/应用商品审核/96fb228cb38c4fa388b04b75613969c8.png,https://s-minio.hunandex.com/hunan/应用商品审核/96fb228cb38c4fa388b04b75613969c8.png,2023_株洲市渌口区标准地图影像版8开,1,是,1,1,,,,,1051,数据集成,数据集成,,0.05,,,,2,100.png,https://s-minio.hunandex.com/hunan/合同/a6ba277899e745419af87ff0057f7671.png,2025-12-22,1,2,,,8a69d84f8d3f76b6018e79cde07900f3,,,面议,1,3,8a69d8528d3be3a1018e79b4fc720070,2026-01-20 09:50:42,,1,
基于湖南省基础地理信息数据库，依据湖南省行政区划界线标准画法和最新境界、标准地名成果，采用其他自然地理要素和人文专题要素的现势性资料编制而成。,,,,,2024-09-09,20240909155654976810,2,9,2024-09-09,,,,,8a69d8528d3be3a1018e79b4fc720070,长沙数据登记管理中心有限公司,2024-09-09,1,基于湖南省基础地理信息数据库，依据湖南省行政区划界线标准画法和最新境界、标准地名成果，采用其他自然地理要素和人文专题要素的现势性资料编制而成。,1,,,,,,,[],1833051945198891009,基于湖南省基础地理信息数据库，依据湖南省行政区划界线标准画法和最新境界、标准地名成果，采用其他自然地理要素和人文专题要素的现势性资料编制而成。,"数据服务,地图信息","数据服务,地图信息",,https://s-minio.hunandex.com/hunan/商品审核/4ee77b394fa8423084acb7831121e9df.jpg,https://s-minio.hunandex.com/hunan/商品审核/4ee77b394fa8423084acb7831121e9df.jpg,2023_沅陵县标准地图行政区划示意版32开,1,是,2,同意,2034-09-09,,,,1048,卫星遥感,卫星遥感,,,,新闻宣传用图、书刊报纸插图、广告展示背景图、工艺品设计底图等，也可作为编制公开版地图的参考底图。,,2,,,,1,2,,,8a69d84f8d3f76b6018e79cde07900f3,,,面议,,1,,2025-11-08 00:03:05,,1,
基于湖南省基础地理信息数据库，依据湖南省行政区划界线标准画法和最新境界、标准地名成果，采用其他自然地理要素和人文专题要素的现势性资料编制而成。,,,,,2024-09-09,20240909155459794213,2,12,2024-09-09,,,,,8a69d8528d3be3a1018e79b4fc720070,长沙数据登记管理中心有限公司,2024-09-09,1,基于湖南省基础地理信息数据库，依据湖南省行政区划界线标准画法和最新境界、标准地名成果，采用其他自然地理要素和人文专题要素的现势性资料编制而成。,1,,,,,,,[],1833051460677087234,基于湖南省基础地理信息数据库，依据湖南省行政区划界线标准画法和最新境界、标准地名成果，采用其他自然地理要素和人文专题要素的现势性资料编制而成。,"数据服务,地图信息","数据服务,地图信息",,https://s-minio.hunandex.com/hunan/商品审核/7c19809f46eb493a8ed628dcab573e1b.jpg,https://s-minio.hunandex.com/hunan/商品审核/7c19809f46eb493a8ed628dcab573e1b.jpg,2022_开福区标准地图基本要素版8开,1,是,2,同意,2034-09-09,,,,1048,卫星遥感,卫星遥感,,,,新闻宣传用图、书刊报纸插图、广告展示背景图、工艺品设计底图等，也可作为编制公开版地图的参考底图。,,2,,,,1,2,,,8a69d84f8d3f76b6018e79cde07900f3,,,面议,,1,,2025-12-05 18:41:51,,1,
<p>使用案例：某全国股份银行通过引入数星风控系列产品，为全集团近12家金融子公司贷后风险管理、投后风险管理、供应商监控、宏观研究、合规内控等多场景，构建基于异构数据的智能化预警服务。已成功提前预测多项重大风险事件。</p><p>价格面议。</p>,,,1,超级管理员,2024-05-17,20240516160715285918,2,23,2024-05-16,,,TRS技术数据服务合同模板.docx,https://s-minio.hunandex.com/hunan/合同/51380a8fc5054ae0810dfc2403b2e4bd.docx,8a69f5698beb110c018bf6203e7b0007,拓尔思信息技术股份有限公司,2024-05-16,1,TRS数星智能风控大数据平台是利用人工智能、大数据、自然语言处理、知识图谱等技术构建的在线数据服务平台。围绕海量另类数据，全面监控企业多维风险。提供智能多维标签、预警信号推送、风险事件跟踪、风险传导关联、综合异构图谱等风险管理功能，提升金融机构风控能力。在风控、合规、投研、监管等金融场景得到广泛应用。,1,1060,,数据购买服务,,,,"[{""unit"": ""元/天"", ""total"": 0, ""seqNo"": null, ""price"": 20000.0, ""limitCount"": 100000, ""effectiveTime"": 365, ""priceType"": ""1"", ""id"": 770}]",1791017555749310466,TRS数星智能风控大数据平台是利用人工智能、大数据、自然语言处理、知识图谱等技术构建的在线数据服务平台。围绕海量另类数据，全面监控企业多维风险。提供智能多维标签、预警信号推送、风险事件跟踪、风险传导关联、综合异构图谱等风险管理功能，提升金融机构风控能力。在风控、合规、投研、监管等金融场景得到广泛应用。,云基础服务,云基础服务,,https://s-minio.hunandex.com/hunan/应用商品审核/25ff7b83e8d94248ae6e75401c55d3a1.png,https://s-minio.hunandex.com/hunan/应用商品审核/25ff7b83e8d94248ae6e75401c55d3a1.png,企业社保信息查询,2,否,2,交易部,2036-05-16,,,,1056,工业制造,工业制造,,0.05,,,,2,湖南大数据交易所数据产品上架申请表.pdf,https://s-minio.hunandex.com/hunan/合同/d3158fa294ed433fa7ff89d4b9bd3d1e.pdf,,1,2,,,8a69f5538bb74ddc018bfb8f9a84003f,,,20000,1,3,8a69f5698beb110c018bf6203e7b0007,2025-12-05 18:38:11,,1,
<p>作品类型：美术作品；</p><p>数量：1张；</p><p>文件格式：jpg；</p><p>分辨率：3508*2481；</p><p>授权权利：复制权、展览权、信息网络传播权；</p><p>交易方式：授权</p><p>版权证书编号：京作登字-2024-F-00305592</p>,,,1726865546913554433,生态合作,2024-11-18,20241118132717192856,2,27,,,,空文档.docx,https://s-minio.hunandex.com/hunan/合同/c599d2ffd2134eb583236f730d5b72ed.docx,8a69f1e2920cf409019222644eee0012,北京玖扬传媒有限公司,2024-11-18,1,简介：以中国民俗中的梅花为题材进行创作的线图，取梅花不畏严寒，独自傲雪，这正是它独特之处。梅花的寓意，画中的梅花叶子代表着坚韧与不屈的精神，每一片都如诗如画，仿佛在诉说着千年的故事。作品的气氛自然和谐，梅花与叶子相互映衬，构成了一幅美丽的画面。画中的色彩柔和而不失鲜明之意。,1,,,,,,,[],1858381441803407362,简介：以中国民俗中的梅花为题材进行创作的线图，取梅花不畏严寒，独自傲雪，这正是它独特之处。梅花的寓意，画中的梅花叶子代表着坚韧与不屈的精神，每一片都如诗如画，仿佛在诉说着千年的故事。作品的气氛自然和谐，梅花与叶子相互映衬，构成了一幅美丽的画面。画中的色彩柔和而不失鲜明之意。,数字文创,数字文创,,https://s-minio.hunandex.com/hunan/应用商品审核/03a67ac4a9144a51af57c490e1a4aba6.png,https://s-minio.hunandex.com/hunan/应用商品审核/03a67ac4a9144a51af57c490e1a4aba6.png,十大名花-梅花,1,是,2,通过,2039-12-31,,,,1041,文化旅游,文化旅游,,0.05,,本作品是作者独立创作的原创的十大名花-梅花，采用中国传统绘画方法线描绘成，并大幅采用了线条构成，而梅花以其傲骨凌霜、清雅脱俗的特质，象征着高雅纯洁的品质和幸福美好的愿景。作品活泼、和谐统一，充满了浓厚的韵味。根据中国传统文化，也象征着坚韧不拔、不随波逐流的精神。作品不仅表现了作者自身绘画的特点，也体现了广博的中华文化和丰富的文化底蕴。,,2,湖南大数据交易所数据产品上架申请表（玖扬传媒）.pdf,https://s-minio.hunandex.com/hunan/合同/2acddeea8f754e87af95b2f8e0ed924e.pdf,,1,2,,,8a69f1d091c242310192313fc69f00ba,,,面议,,1,8a69f1e2920cf409019222644eee0012,2025-12-05 18:41:04,http://www.cncbox.com/,1,
基于湖南省基础地理信息数据库，依据湖南省行政区划界线标准画法和最新境界、标准地名成果，采用其他自然地理要素和人文专题要素的现势性资料编制而成。,,,,,2024-09-09,20240909155631767356,2,13,2024-09-09,,,,,8a69d8528d3be3a1018e79b4fc720070,长沙数据登记管理中心有限公司,2024-09-09,1,基于湖南省基础地理信息数据库，依据湖南省行政区划界线标准画法和最新境界、标准地名成果，采用其他自然地理要素和人文专题要素的现势性资料编制而成。,1,,,,,,,[],1833051847689711617,基于湖南省基础地理信息数据库，依据湖南省行政区划界线标准画法和最新境界、标准地名成果，采用其他自然地理要素和人文专题要素的现势性资料编制而成。,"数据服务,地图信息","数据服务,地图信息",,https://s-minio.hunandex.com/hunan/商品审核/c0b2d3f45300432ead6718c7772a094a.jpg,https://s-minio.hunandex.com/hunan/商品审核/c0b2d3f45300432ead6718c7772a094a.jpg,2023_安仁县标准地图行政区划示意版32开,1,是,2,同意,2034-09-09,,,,1048,卫星遥感,卫星遥感,,,,新闻宣传用图、书刊报纸插图、广告展示背景图、工艺品设计底图等，也可作为编制公开版地图的参考底图。,,2,,,,1,2,,,8a69d84f8d3f76b6018e79cde07900f3,,,面议,,1,,2025-11-28 09:48:36,,1,
<p>《华中华南部分省份降低市场主体成本情况对比分析报告》选取了华中华南地区广东省、广西壮族自治区、湖北省、湖南省、江西省、河南省六个省份，主要包括市场准入、纳税、工程建设项目审批、政府采购、招标投标、跨境贸易等九大制度性交易成本及物流、水电气讯、用地、用工、金融等五大要素成本等数据。</p>,,,1,超级管理员,2024-06-25,20240624162101317845,1,18,,,,,,8a69d8528d3be3a1018e7d88a10f0072,湖南国脉原道数据科技有限公司,2024-06-24,1,《华中华南部分省份降低市场主体成本情况对比分析报告》选取了华中华南地区广东省、广西壮族自治区、湖北省、湖南省、江西省、河南省六个省份，主要包括市场准入、纳税、工程建设项目审批、政府采购、招标投标、跨境贸易等九大制度性交易成本及物流、水电气讯、用地、用工、金融等五大要素成本等数据。,1,1059,,数据分析服务,,,,[],1805154146136604674,《华中华南部分省份降低市场主体成本情况对比分析报告》选取了华中华南地区广东省、广西壮族自治区、湖北省、湖南省、江西省、河南省六个省份，主要包括市场准入、纳税、工程建设项目审批、政府采购、招标投标、跨境贸易等九大制度性交易成本及物流、水电气讯、用地、用工、金融等五大要素成本等数据。,"市场洞察,决策支持","市场洞察,决策支持",,https://s-minio.hunandex.com/hunan/应用商品审核/467fec4ce8ba450a8e21ddff975896eb.png,https://s-minio.hunandex.com/hunan/应用商品审核/467fec4ce8ba450a8e21ddff975896eb.png,华中华南部分省份降低市场主体成本情况对比分析报告,1,是,2,通过,2064-06-30,,,,1042,城市治理,城市治理,,0.05,,,,2,申请表.pdf,https://s-minio.hunandex.com/hunan/合同/d39ff4ce7ea0497b8f5728a18b2c82df.pdf,,1,2,,,8a69d84f8d3f76b6018e7dbb97290103,,,面议,1,3,8a69d8528d3be3a1018e7d88a10f0072,2025-12-05 18:37:58,,1,
基于湖南省基础地理信息数据库，依据湖南省行政区划界线标准画法和最新境界、标准地名成果，采用其他自然地理要素和人文专题要素的现势性资料编制而成。,,,,,2024-09-09,20240909155454127515,2,14,2024-09-09,,,,,8a69d8528d3be3a1018e79b4fc720070,长沙数据登记管理中心有限公司,2024-09-09,1,基于湖南省基础地理信息数据库，依据湖南省行政区划界线标准画法和最新境界、标准地名成果，采用其他自然地理要素和人文专题要素的现势性资料编制而成。,1,,,,,,,[],1833051440728977410,基于湖南省基础地理信息数据库，依据湖南省行政区划界线标准画法和最新境界、标准地名成果，采用其他自然地理要素和人文专题要素的现势性资料编制而成。,"数据服务,地图信息","数据服务,地图信息",,https://s-minio.hunandex.com/hunan/商品审核/b78872aa79ef4f0fa011b44931103b2a.jpg,https://s-minio.hunandex.com/hunan/商品审核/b78872aa79ef4f0fa011b44931103b2a.jpg,2023_芙蓉区标准地图行政区划示意版32开,1,是,2,同意,2034-09-09,,,,1048,卫星遥感,卫星遥感,,,,新闻宣传用图、书刊报纸插图、广告展示背景图、工艺品设计底图等，也可作为编制公开版地图的参考底图。,,2,,,,1,2,,,8a69d84f8d3f76b6018e79cde07900f3,,,面议,,1,,2025-11-08 00:03:08,,1,
基于湖南省基础地理信息数据库，依据湖南省行政区划界线标准画法和最新境界、标准地名成果，采用其他自然地理要素和人文专题要素的现势性资料编制而成。,,,,,2024-09-09,20240909155516979889,2,11,2024-09-09,,,,,8a69d8528d3be3a1018e79b4fc720070,长沙数据登记管理中心有限公司,2024-09-09,1,基于湖南省基础地理信息数据库，依据湖南省行政区划界线标准画法和最新境界、标准地名成果，采用其他自然地理要素和人文专题要素的现势性资料编制而成。,1,,,,,,,[],1833051532756201473,基于湖南省基础地理信息数据库，依据湖南省行政区划界线标准画法和最新境界、标准地名成果，采用其他自然地理要素和人文专题要素的现势性资料编制而成。,"数据服务,地图信息","数据服务,地图信息",,https://s-minio.hunandex.com/hunan/商品审核/5302a32614e748489668362722927dd6.jpg,https://s-minio.hunandex.com/hunan/商品审核/5302a32614e748489668362722927dd6.jpg,2022_岳塘区标准地图基本要素版8开,1,是,2,同意,2034-09-09,,,,1048,卫星遥感,卫星遥感,,,,新闻宣传用图、书刊报纸插图、广告展示背景图、工艺品设计底图等，也可作为编制公开版地图的参考底图。,,2,,,,1,2,,,8a69d84f8d3f76b6018e79cde07900f3,,,面议,,1,,2025-11-08 00:03:22,,1,
基于湖南省基础地理信息数据库，依据湖南省行政区划界线标准画法和最新境界、标准地名成果，采用其他自然地理要素和人文专题要素的现势性资料编制而成。,,,,,2024-09-09,20240909155555253366,2,7,2024-09-09,,,,,8a69d8528d3be3a1018e79b4fc720070,长沙数据登记管理中心有限公司,2024-09-09,1,基于湖南省基础地理信息数据库，依据湖南省行政区划界线标准画法和最新境界、标准地名成果，采用其他自然地理要素和人文专题要素的现势性资料编制而成。,1,,,,,,,[],1833051697265192962,基于湖南省基础地理信息数据库，依据湖南省行政区划界线标准画法和最新境界、标准地名成果，采用其他自然地理要素和人文专题要素的现势性资料编制而成。,"数据服务,地图信息","数据服务,地图信息",,https://s-minio.hunandex.com/hunan/商品审核/f43eee2780c646a09760d36c724117c9.jpg,https://s-minio.hunandex.com/hunan/商品审核/f43eee2780c646a09760d36c724117c9.jpg,2022_君山区标准地图影像版8开,1,是,2,同意,2034-09-09,,,,1048,卫星遥感,卫星遥感,,,,新闻宣传用图、书刊报纸插图、广告展示背景图、工艺品设计底图等，也可作为编制公开版地图的参考底图。,,2,,,,1,2,,,8a69d84f8d3f76b6018e79cde07900f3,,,面议,,1,,2025-11-08 00:03:25,,1,
"<p><span style=""color: rgb(51, 51, 51);"">2023_长沙市标准地图基本要素版8开下载，</span>可用于新闻宣传用图、书刊报纸插图、广告展示背景图、工艺品设计底图等，也可作为编制公开版地图的参考底图。</p>",,,1,超级管理员,2024-03-27,20240327100255327018,1,12,,,,新建DOCX文档.docx,https://s-minio.hunandex.com/hunan/合同/a69c484c19aa48a79cf882646a586fed.docx,8a69d8528d3be3a1018e79b4fc720070,长沙数据登记管理中心有限公司,2024-03-27,1,2023_长沙市标准地图基本要素版8开下载,1,1060,,数据购买服务,,,,[],1772806473808531458,2023_长沙市标准地图基本要素版8开下载,"数据存储,数据中台,数据系统部署,数据中心,数据仓库","数据存储,数据中台,数据系统部署,数据中心,数据仓库",,https://s-minio.hunandex.com/hunan/应用商品审核/8803fcdc67ce474487dc71cd0cf97c69.png,https://s-minio.hunandex.com/hunan/应用商品审核/8803fcdc67ce474487dc71cd0cf97c69.png,2023_长沙市标准地图基本要素版8开,1,是,1,1,,,,,1051,数据集成,数据集成,,0.05,,,,2,18.png,https://s-minio.hunandex.com/hunan/合同/d5df9631b58b4581b8e7c4fb03b5bacf.png,,1,2,,,8a69d84f8d3f76b6018e79cde07900f3,,,面议,1,3,8a69d8528d3be3a1018e79b4fc720070,2025-11-07 23:55:27,,1,
