apiAccessPermissions,apiApplicationScenarios,apiBuyPermissions,apiUpdateRequency,auditOpinion,auditStatus,buyCount,code,collCount,collectTime,commentNum,commodityAttribute,commodityType,companyName,cplb,createTime,createTime_begin,createTime_end,dataAcquisition,dataArea,dataClassification,dataFormat,dataIndustry,dataIntroduce,dataPermission,dataPrice,dataSector,dataSource,dataStartTime,dataType,dataUrl,dateEndTime,deleted,deliveryMethod,downCount,effectiveDes,finishTime,freeCount,homeUrl,id,industryName,industryType,isDeleted,isFace,jfxt,keys,logoUrl,longTime,name,notes,pageUrl,periodValidity,productCommitment,productReviewReports,productStatus,publishType,replaceTime,sectorName,supplierIntroduce,tenantId,updateBy,updateTime,version,viewCount
,,,,同意,1,0,,0,2021-12-15 15:22:53,,1,2,,,2021-12-15 15:22:51,,,,all,2,,1452570030065696770,,2,,1452570235813085186,,2021-12-15,1,https://www.datatang.com,2021-12-16,0,,0,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639552874277_1639552863(1).jpg,1471017895383396353,软件信息服务,,0,1,数据集,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639552870146_1639552863(1).jpg,,"1,441小时意大利语手机采集语音数据","该数据由3,109名意大利本土发音人参与录制，意大利口音正宗。录音内容涵盖通用类、交互类、车载命令类、家居命令等多类别，内容丰富。录音文本由语言专家参与设计，文本经过人工校对，准确率高。匹配主流安卓、苹果系统手机。",,30,,,0,,,人工智能,,,sjt,2026-01-25 00:16:45,804,803
,,,,同意,1,0,,0,2021-12-15 15:26:31,,1,2,,,2021-12-15 15:26:43,,,,all,2,,1452570030065696770,,2,,1452570235813085186,,2021-12-15,1,https://www.datatang.com,2021-12-16,0,,0,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639553009309_1639553003(1).jpg,1471018866587070465,软件信息服务,,0,1,数据集,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639553007126_1639553003(1).jpg,,"1,002小时俄语手机采集语音数据",1960名俄罗斯本土发音人参与录制，口音正宗。录音文本由语言专家参与设计，涵盖通用、交互、车载、家居等多类别，内容丰富。文本经过人工校对，准确率高。匹配主流安卓、苹果系统手机,,30,,,0,,,人工智能,,,JH0000,2026-01-25 00:16:45,812,807
,,,,同意,1,0,,0,2021-12-15 15:34:36,,1,2,,,2021-12-15 15:37:23,,,,all,2,,1452570030065696770,,2,,1452570235813085186,,2021-12-15,0,https://www.datatang.com,2021-12-16,0,,0,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639553818292_1639553802(1).jpg,1471021551763587073,软件信息服务,,0,1,数据集,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639553816019_1639553802(1).jpg,,各大语系平行语料数据,平行互译语料，数据存储格式为txt文档，覆盖旅游、医药、日常、电视剧等多个领域。已进行数据清洗脱敏质检，可作为文本类数据分析的基础语料库，用于机器翻译等领域。,,30,,,0,,,人工智能,,,sjt,2026-01-25 00:16:44,808,807
,,,,同意,1,0,,0,2021-12-15 15:42:28,,1,2,,,2021-12-15 15:42:27,,,,all,2,,1452570030065696770,,2,,1452570235813085186,,2021-12-15,0,https://www.datatang.com,2021-12-16,0,,0,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639554136456_1639554126(1).jpg,1471022825796009985,软件信息服务,,0,1,数据集,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639554133536_1639554126(1).jpg,,"10,000条中文新闻事件标注数据","1 万条中文新闻事件标注数据，数据采集自2,013年的热门新闻，每篇新闻均包含一个或多个事件，对每个事件进行了标注。数据以xml格式存储，该数据可用于自然语言理解等任务。",,30,,,0,,,人工智能,,,sjt,2026-01-25 00:16:44,816,815
,,,,产品可以，很符合我们的预期和标准,1,0,,0,,,1,5,,,2021-12-15 15:47:13,,,,,,,1452570030065696770,,,,"1452570235813085186,1452570323880886273",,,,,,0,3,0,失效,2022-01-15,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639554414502_精准营销.png,1471024025656360962,软件信息服务,,0,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639554408674_精准营销.png,false,智慧零售-精准营销,1.借助第四范式智慧零售AI技术向零售行业的多个落地解决方案，可帮助企业提升“人货场”全面智慧化管理水平，达到新零售降本增效的目的。,,,,,0,1,,"人工智能,企业服务",,,admin,2026-01-25 00:16:44,789,788
,,,,同意,1,0,,0,2021-12-15 15:46:43,,1,2,,,2021-12-15 15:48:22,,,,all,2,,1452570030065696770,,2,,1452570235813085186,,2021-12-15,0,https://www.datatang.com,2021-12-16,0,,0,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639554495823_1639554489(1).jpg,1471024318355865601,软件信息服务,,0,1,数据集,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639554493917_1639554489(1).jpg,,"8,200万条粤语剧本数据","粤语文本数据，总计8,200万条；数据内容采集自粤语剧本文本；数据可用于自然语言理解，知识库构建等任务",,30,,,0,,,人工智能,,,sjt,2026-01-25 00:16:43,815,814
,,,,1,1,0,,0,,,1,1,,,2021-12-15 15:49:32,,,,all,2,,1452570030065696770,,2,0.0,"1452570435235463169,1452570598934953985",,2021-12-15,,,2021-12-16,0,,0,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639554570970_WechatIMG2038.png,1471024609667055618,软件信息服务,,0,1,API,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639554566329_WechatIMG2038.png,,面向长文本的情感分析【大于等于200字】,"面向长文本的情感分析【大于等于200字】
情感分析(Sentiment Analysis)是指对带有情感色彩的主观性文本进行分析、处理和抽取的过程。",,30,,,0,,,"城市管理,生活服务",,,admin,2026-01-25 00:16:43,801,800
,,,,同意,1,0,,0,2021-12-15 15:53:18,,1,2,,,2021-12-15 15:54:30,,,,all,2,,1452570030065696770,,2,,1452570235813085186,,2021-12-15,0,https://www.datatang.com,2021-12-16,0,,0,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639554860240_1639554846(1).jpg,1471025860513366018,软件信息服务,,0,1,数据集,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639554854214_1639554846(1).jpg,,5万条中文社交评论类句法标注数据,5万条中文社交评论类句法标注数据,,30,,,0,,,人工智能,,,sjt,2026-01-25 00:16:43,824,823
,,,,同意,1,0,,0,,,1,5,,,2021-12-15 15:58:31,,,,,,,1452569967235022849,,,,"1452570323880886273,1452570235813085186",,,,,,0,3,0,失效,2022-01-15,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639555104425_智慧供应链.png,1471026869092483074,制造,,0,,数据咨询服务,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639555098811_智慧供应链.png,false,智慧零售-智慧供应链,借助第四范式智慧零售AI技术向零售行业的多个落地解决方案，可帮助企业提升“人货场”全面智慧化管理水平，达到新零售降本增效的目的。,,,,,0,1,,"人工智能,企业服务",,,admin,2026-01-25 00:16:42,807,804
,,,,同意,1,0,,0,,,1,5,,,2021-12-15 16:02:52,,,,,,,1452570030065696770,,,,"1452570235813085186,1452570323880886273",,,,,,0,3,0,失效,2022-01-15,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639555370293_智能运营.png,1471027964254617601,软件信息服务,,0,,数据咨询服务,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639555364684_智能运营.png,false,智慧零售-智能运营,借助第四范式智慧零售AI技术向零售行业的多个落地解决方案，可帮助企业提升“人货场”全面智慧化管理水平，达到新零售降本增效的目的。,,,,,0,1,,"人工智能,企业服务",,,dsfs,2026-01-25 00:16:42,790,789
,,,,怎么了,1,0,,0,,,1,5,,,2021-12-15 16:05:57,,,,,,,1452570030065696770,,,,"1452570235813085186,1452570323880886273",,,,,,0,3,0,失效,2022-01-15,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639555553314_智能客服.png,1471028743027818497,软件信息服务,,0,,数据咨询服务,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639555547980_智能客服.png,false,智慧零售-智能客服,借助第四范式智慧零售AI技术向零售行业的多个落地解决方案，可帮助企业提升“人货场”全面智慧化管理水平，达到新零售降本增效的目的。,,,,,0,1,,"人工智能,企业服务",,,dsfs,2026-01-25 00:16:42,787,786
,,,,通过,1,15,,0,2021-12-15 16:39:43,,1,6,合肥大智慧财汇数据科技有限公司,,2021-12-15 16:49:43,,,,all,2,,1452570067478888449,,2,,1452570554785710082,,,3,https://www.qyyjt.cn/guide/intro,,0,,0,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639558177318_图片1.png,1471039753948233730,金融,,0,1,数据应用程序,,http://www.bigdatadex.com.cn/oss/bdup.prod/authentication/1640331291976_公司logo.jpg,,企业预警通APP,"企业预警通由上海大智慧财汇数据科技有限公司研发，公司是国内最早为金融机构提供证券风险预警、企业多维风险数据监测和企业画像数据的信息服务商之一，从2010年前开始为金融机构提供负面舆情服务，此后持续围绕用户需求，不断拓展数据面、优化产品、创新产品研发，市场品牌和影响力持续提升。
",,,,,0,,,金融服务,,,admin,2026-01-25 00:16:41,872,854
,,,,产品很好，希望更好,1,0,,0,,,1,5,,,2021-12-15 17:02:22,,,,,,,1452570030065696770,,,,"1452570235813085186,1452570323880886273",,,,,,0,4,0,失效,2022-01-15,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639558931718_智慧线能.png,1471042938679066625,软件信息服务,,0,,数据咨询服务,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639558923912_智慧线能.png,false,智慧制造-智能线索评级,智慧制造从实时生产的每个零件中学习，从产线运转的每台机器中洞察，人工智能帮助未来工厂从数字化到智能化,,,,,0,1,,"人工智能,企业服务",,,dsfs,2026-01-25 00:16:41,791,790
,,,,通过,1,1,,0,2021-12-15 16:55:52,,1,6,,,2021-12-15 17:07:00,,,,all,2,,1452570067478888449,,2,,1452570554785710082,,,3,http://www.iflybank.com/,,0,,1,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639559212380_微信截图_20211215170633.png,1471044105941286913,金融,,0,1,数据咨询服务,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639559108614_微信截图_20211215170444.png,,金融解决方案,“金融超脑”是基于人工智能（AI）技术，结合金融专业知识，通过对海量数据和样本的机器深度学习，自动构建信贷评分规则和决策体系（决策引擎），根据用户风险和行为特征，快速判断用户贷款额度及利率，实现客户的信用、风险和授信的合理配置，大幅提升了信贷服务效率，降低了商业成本，并有效控制了信贷风险。,,,,,0,,,金融服务,,,zkgj,2026-01-25 00:16:41,832,829
,,,,1,1,0,,0,,,1,1,,,2021-12-15 17:14:25,,,,all,2,,1452570030065696770,,2,0.0,"1452570435235463169,1452570235813085186",,2021-12-15,,,2021-12-16,0,,0,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639629251391_情感分析1.jpeg,1471045972154908673,软件信息服务,,0,1,数据治理服务,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639629247770_情感分析1.jpeg,,面向多语种长文本的情感分析,"面向多语种长文本的情感分析【大于等于200字】
情感分析的最大挑战之一是它高度依赖语言。现存情感分析模型的单词嵌入，情感词典，甚至带注释的数据都是特定于语言的，这无疑会造成不同语种间的信息孤立。",,30,,,0,,,"人工智能,城市管理",,,admin,2026-01-25 00:16:40,789,786
,,,,同意,1,0,,0,,,1,5,,,2021-12-15 17:18:18,,,,,,,1452569967235022849,,,,"1452570235813085186,1452570323880886273",,,,,,0,3,0,失效,2022-01-15,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639559892200_排产.png,1471046947666132994,制造,,0,,数据咨询服务,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639559860612_排产.png,false,智慧制造-智能排产派工,智慧制造从实时生产的每个零件中学习，从产线运转的每台机器中洞察，人工智能帮助未来工厂从数字化到智能化。,,,,,0,1,,"人工智能,企业服务",,,admin,2026-01-25 00:16:40,801,798
,,,,同意,1,0,,0,,,1,5,,,2021-12-15 17:21:24,,,,,,,1452569967235022849,,,,"1452570323880886273,1452570235813085186,1452570368210485250",,,,,,0,3,0,失效,2022-01-15,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639560078020_异常.png,1471047730272927745,制造,,0,,数据咨询服务,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639560072094_异常.png,false,智慧制造-异常检测,智慧制造从实时生产的每个零件中学习，从产线运转的每台机器中洞察，人工智能帮助未来工厂从数字化到智能化。,,,,,0,1,,"人工智能,企业服务,物联网",,,admin,2026-01-25 00:16:40,803,798
,,,,同意,1,0,,0,,,1,5,,,2021-12-15 17:23:56,,,,,,,1452569967235022849,,,,"1452570235813085186,1452570323880886273,1452570368210485250",,,,,,0,3,0,失效,2022-01-15,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639560230792_缺陷.png,1471048365403799553,制造,,0,,数据咨询服务,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639560222404_缺陷.png,false,智慧制造-缺陷检测,智慧制造从实时生产的每个零件中学习，从产线运转的每台机器中洞察，人工智能帮助未来工厂从数字化到智能化。,,,,,0,1,,"人工智能,企业服务,物联网",,,admin,2026-01-25 00:16:39,816,811
,,,,同意,1,0,,0,,,1,5,,,2021-12-15 17:27:32,,,,,,,1452570030065696770,,,,"1452570235813085186,1452570323880886273",,,,,,0,3,0,失效,2022-01-15,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639560446133_精准营销.png,1471049271100833794,软件信息服务,,0,,数据咨询服务,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639560438404_精准营销.png,false,智慧银行-精准营销,智慧制造从实时生产的每个零件中学习，从产线运转的每台机器中洞察，人工智能帮助未来工厂从数字化到智能化。,,,,,0,1,,"人工智能,企业服务",,,dsfs,2026-01-25 00:16:39,795,794
,,,,通过,1,0,,0,2021-12-15 17:08:30,,1,6,箩筐遥感技术有限公司,,2021-12-15 17:28:53,,,,all,2,,1452570030065696770,,2,,1452570435235463169,,,3,http://www.11467.com/qiye/98515623.htm,,0,,0,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1692587539984_秸秆.png,1471049613326680065,软件信息服务,,0,1,数据应用程序,,http://www.bigdatadex.com.cn/oss/bdup.prod/authentication/1692006743548_箩筐遥感_英文_彩色 (1).png,,火点监测数据-秸秆焚烧监测,"秸秆禁烧规定,我省秸秆每年1.3亿吨，事件多发，政府高度重视
从中央到地方，密集出台相关政策禁止秸秆焚烧，各地却屡禁不止。
造成群众与干部之间矛盾，影响社会团结。
部分地区政府被罚款、干部被处分、群众被拘留，2019年9月15日，黑龙江50名党政干部被问责。
黑龙江省每年产生1.3亿吨秸秆，政府高度重视秸秆焚烧且下发了《2020-2021年有限解决秸秆露天焚烧督察工作方案》。
黑龙江秸秆焚烧禁烧期9月15号至次年5月15号。
",,,,,0,,,城市管理,,,lkkj,2026-01-25 00:16:38,794,791
,,,,同意,1,0,,0,,,1,5,,,2021-12-15 17:31:29,,,,,,,1452570030065696770,,,,"1452570323880886273,1452570554785710082",,,,,,0,3,0,失效,2021-12-15,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639560687048_诈骗.png,1471050268082700290,软件信息服务,,0,,数据咨询服务,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639560677148_诈骗.png,false,智慧银行-实时反欺诈,助力银行实现数智化银行战略转型发展，拓展全业务领域、全渠道、全流程的AI规模化应用。,,,,,0,1,,"企业服务,金融服务",,,dsfs,2026-01-25 00:16:38,790,789
,,,,同意,1,0,,0,,,1,5,,,2021-12-15 17:33:58,,,,,,,1452570030065696770,,,,"1452570235813085186,1452570554785710082",,,,,,0,3,0,失效,2022-01-15,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639560835896_反洗.png,1471050893549895682,软件信息服务,,0,,数据咨询服务,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639560827459_反洗.png,false,智慧银行-智能反洗钱,助力银行实现数智化银行战略转型发展，拓展全业务领域、全渠道、全流程的AI规模化应用。,,,,,0,1,,"人工智能,金融服务",,,dsfs,2026-01-25 00:16:37,789,788
,,,,1,1,0,,0,,,1,1,,,2021-12-15 17:34:58,,,,all,2,,1452570030065696770,,2,0.0,"1452570235813085186,1452570435235463169",,2021-12-15,,,2021-12-16,0,,0,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639629277874_情感分析2.jpeg,1471051142263734274,软件信息服务,,0,1,数据治理服务,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639629274567_情感分析2.jpeg,,面向多语种短文本的情感分析,"面向多语种短文本的情感分析【小于200字】
情感分析的最大挑战之一是它高度依赖语言。现存情感分析模型的单词嵌入，情感词典，甚至带注释的数据都是特定于语言的，这无疑会造成不同语种间的信息孤立。",,30,,,0,,,"人工智能,城市管理",,,admin,2026-01-25 00:16:37,790,787
,,,,同意,1,0,,0,,,1,5,,,2021-12-15 17:36:30,,,,,,,1452570030065696770,,,,"1452570235813085186,1452570554785710082",,,,,,0,3,0,失效,2022-01-15,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639560967017_智能运营.png,1471051528080982018,软件信息服务,,0,,数据咨询服务,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639560961131_智能运营.png,false,智慧银行-运营优化,助力银行实现数智化银行战略转型发展，拓展全业务领域、全渠道、全流程的AI规模化应用。,,,,,0,1,,"人工智能,金融服务",,,dsfs,2026-01-25 00:16:37,792,791
,,,,同意,1,0,,0,,,1,5,,,2021-12-15 17:38:53,,,,,,,1452570030065696770,,,,"1452570235813085186,1452570554785710082",,,,,,0,4,0,失效,2022-01-15,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639561130893_券商.png,1471052129472872449,软件信息服务,,0,,数据咨询服务,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639561124632_券商.png,false,智慧券商-券商客户在线化智能运营,"智慧券商-券商客户在线化智能运营
",,,,,0,1,,"人工智能,金融服务",,,dsfs,2026-01-25 00:16:36,804,803
,,,,1,1,0,,0,,,1,1,,,2021-12-15 17:39:23,,,,all,2,,1452570030065696770,,2,0.0,"1452570235813085186,1452570435235463169",,2021-12-15,,,2021-12-16,0,,0,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639561162006_情感分析.png,1471052255113248770,软件信息服务,,0,1,数据治理服务,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639561156389_情感分析.png,,面向微博的情感分析,"面向微博的情感分析
微博以其强大影响力已经深深的融入每个人的生活，而对微博的情感分析，不仅可以获取网民的此时的心情，对某个事件或事物的看法，还可以获取其潜在的商业价值，还能对社会的稳定做出一定的贡献。",,30,,,0,,,"人工智能,城市管理",,,admin,2026-01-25 00:16:36,796,795
